"genus","different"
"ABELIA","no"
"ABELOMOSCHUS","yes"
"ABIES","no"
"ABROMA","no"
"ABRUS","no"
"ABUTA","no"
"ABUTILON","no"
"ACACIA","no"
"ACALYPHA","no"
"ACANTHOPANAX","yes"
"ACANTHOPHYLLUM","no"
"ACANTHOSPERMUM","no"
"ACANTHOSPORA","yes"
"ACANTHOSYRIS","no"
"ACER","yes"
"ACHILLEA","no"
"ACHRAS","yes"
"ACHYRANTHES","no"
"ACHYROCLINE","no"
"ACNISTUS","no"
"ACOKANTHERA","no"
"ACONITUM","no"
"ACORUS","no"
"ACOSMIUM","no"
"ACREMONIUM","yes"
"ACRITOPAPPUS","no"
"ACRONYCHIA","no"
"ACROPTILON","yes"
"ACTEA","yes"
"ACTIAS","yes"
"ACTINIDIA","no"
"ACTINODAPHNE","no"
"ADANSONIA","no"
"ADENIUM","no"
"ADENOCARPUS","no"
"ADENOCAULON","no"
"ADENOCHLAENA","no"
"ADENOSTEMMA","no"
"ADENOSTYLES","no"
"ADERANTHERA","yes"
"ADHATODA","no"
"ADIANTUM","no"
"ADINA","yes"
"ADLUMIA","no"
"ADONIS","yes"
"ADOXA","no"
"AECHMEA","no"
"AEGICERAS","no"
"AEGILOPS","no"
"AEGINETIA","no"
"AEGLE","no"
"AEGLOPSIS","no"
"AEGOPORDON","no"
"AESCHRION","yes"
"AESCHYNOMENE","no"
"AESCULUS","no"
"AFRAMOMUM","no"
"AFZELIA","no"
"AGANOSMA","no"
"AGAPANTHUS","no"
"AGARICUS","yes"
"AGASTACHYS","no"
"AGATHIS","no"
"AGATHOSMA","no"
"AGAURIA","no"
"AGAVE","yes"
"AGENATUM","yes"
"AGERATINA","no"
"AGERATUM","no"
"AGLAIA","yes"
"AGONIS","no"
"AGRIANTHUS","no"
"AGRIMONIA","no"
"AGROSTEMMA","no"
"AILANTHUS","no"
"AINSLEAEA","yes"
"AJANIA","no"
"AJUGA","yes"
"AKANIA","no"
"AKEBIA","no"
"ALAFIA","no"
"ALANGIUM","no"
"ALATUS","yes"
"ALBATRELLUS","yes"
"ALBIZIA","no"
"ALBIZZIA","no"
"ALCHORNEA","no"
"ALEANTARA","yes"
"ALECTORIA","yes"
"ALEURIA","yes"
"ALEURITES","no"
"ALHAGI","no"
"ALISMA","no"
"ALKANNA","no"
"ALLAMANDA","no"
"ALLANBLACKIA","no"
"ALLAUDIOPSIS","yes"
"ALLIUM","no"
"ALMEIDEA","no"
"ALNUS","no"
"ALOE","yes"
"ALPHITONIA","no"
"ALPINIA","no"
"ALSEODAPHNE","no"
"ALSOPHILA","no"
"ALSTONIA","no"
"ALTERNARIA","yes"
"ALTHAEA","no"
"ALUIS","yes"
"ALYSSUM","no"
"ALYXIA","no"
"AMANITA","yes"
"AMARANTHUS","no"
"AMARORIA","no"
"AMARYLLIS","yes"
"AMBERBOA","no"
"AMBROSIA","yes"
"AMELLUS","no"
"AMIANTHUM","yes"
"AMMI","no"
"AMMOCHARIS","no"
"AMMODENDRON","no"
"AMMOTHAMNUS","yes"
"AMOMUM","no"
"AMOORA","yes"
"AMORPHA","no"
"AMPELOCERA","no"
"AMPHICOME","yes"
"AMPHIDINIUM","yes"
"AMSINKIA","yes"
"AMSONIA","no"
"AMYRIS","no"
"ANABASIS","no"
"ANACYCLUS","no"
"ANACYSTIS","yes"
"ANADENANTHERA","no"
"ANAGALLIS","no"
"ANAGRAPHIS","yes"
"ANAGYRIS","no"
"ANAMIRTA","no"
"ANANAS","no"
"ANAPHALIS","no"
"ANAPTYCHIA","yes"
"ANASTREPTA","no"
"ANCHUSA","no"
"ANCISTROCLADUS","no"
"ANDIRA","no"
"ANDRACHNE","no"
"ANDROCYMBIUM","no"
"ANDROGRAPHIS","no"
"ANDROMEDA","yes"
"ANDROPOGON","no"
"ANDROSACE","no"
"ANDROSTACHYS","no"
"ANDRYALA","no"
"ANEMIA","yes"
"ANEMONE","yes"
"ANETHUM","no"
"ANEURA","no"
